,Id,Token
0,0,
1,1,(
2,2,)
3,3,-
4,4,-تاکنون
5,5,.
6,6,/
7,7,:
8,8,;
9,9,[
10,10,]
11,11,«
12,12,°
13,13,°شرق
14,14,°شمال
15,15,»
16,16,،
17,17,؛
18,18,ابتدا
19,19,ابراه
20,20,ابلاغ
21,21,ابوالقاس
22,22,اتم
23,23,اتوبوس
24,24,اجتماع
25,25,اجرا
26,26,احکا
27,27,اد
28,28,ادار
29,29,اداره
30,30,ادب
31,31,ادوی
32,32,ارایٔه
33,33,ارتباط
34,34,ارتوپد
35,35,اردو
36,36,ارز
37,37,ارزیاب
38,38,ارشد
39,39,از
40,40,ازبررسی
41,41,ازدواج
42,42,اس
43,43,اساسنامه
44,44,استاد
45,45,استادن
46,46,استفاده
47,47,اسلام
48,48,اشاره
49,49,اشتغال
50,50,اشتهارد
51,51,اصل
52,52,اصلاح
53,53,اطلاع
54,54,اع
55,55,اعزا
56,56,اعضا
57,57,افزار
58,58,افزون
59,59,اقتصاد
60,60,اقدا
61,61,اقشار
62,62,البرز
63,63,الف
64,64,المثن
65,65,اله
66,66,الکترونیک
67,67,اما
68,68,اماکن
69,69,امتیاز
70,70,امر
71,71,امن
72,72,امور
73,73,امک
74,74,امکانپذیر
75,75,امیرکبیر
76,76,انتخاب
77,77,انتشار
78,78,انتقال
79,79,انجا
80,80,انجمن
81,81,انداز
82,82,اندیشه
83,83,انسان
84,84,انضباط
85,85,انقلاب
86,86,انگلشناس
87,87,انگلیس
88,88,آخرین
89,89,آر
90,90,آرام
91,91,آزاد
92,92,آزمایشگاه
93,93,آسیب
94,94,آشنا
95,95,آغاز
96,96,آل
97,97,آلاچیق
98,98,آماده
99,99,آمد
100,100,آمف
101,101,آموخته
102,102,آموز
103,103,آموزش
104,104,آموزشکده
105,105,آن
106,106,آنالیز
107,107,آکادمیک
108,108,آینده
109,109,اکبر
110,110,اکولوژیک
111,111,ایجاد
112,112,ایر
113,113,ایران
114,114,این
115,115,اینترن
116,116,اینترنت
117,117,اینک
118,118,ب
119,119,با
120,120,باب
121,121,باجه
122,122,بازاریاب
123,123,بازرگان
124,124,بازپرداخ
125,125,باشند
126,126,باشگاه
127,127,باغ
128,128,باغبان
129,129,بالا
130,130,باهنر
131,131,بخش
132,132,بدن
133,133,بدو
134,134,بدون
135,135,بذر
136,136,بر
137,137,برا
138,138,برخورد
139,139,بردا
140,140,بردار
141,141,بررس
142,142,برق
143,143,برقرار
144,144,برنامه
145,145,برهان
146,146,برپا
147,147,برگرفته
148,148,برگزار
149,149,برگه
150,150,بزرگ
151,151,بسکتبال
152,152,بسیار
153,153,بسیج
154,154,بعد
155,155,بعضا
156,156,بلندمد
157,157,بند
158,158,بنیانگذار
159,159,بنیانگذارى
160,160,به
161,161,بهدا
162,162,بهره
163,163,بهرهبردار
164,164,بهرهگیر
165,165,بهشت
166,166,بهطور
167,167,بودن
168,168,بوده
169,169,بوفه
170,170,بیرون
171,171,بیمارس
172,172,بیمارستان
173,173,بیماری
174,174,بیمه
175,175,بین
176,176,بینالملل
177,177,بیوتکنولوژ
178,178,بیولوژ
179,179,بیومکانیک
180,180,تا
181,181,تاسیس
182,182,تأسیس
183,183,تاکسیران
184,184,تبدیل
185,185,تبرید
186,186,تجزیه
187,187,تجمع
188,188,تجهیز
189,189,تح
190,190,تحصیل
191,191,تحقیق
192,192,تخصص
193,193,تدوین
194,194,تر
195,195,ترب
196,196,تربیت
197,197,تسهیل
198,198,تشکل
199,199,تصویب
200,200,تصویر
201,201,تعداد
202,202,تغذیه
203,203,تفریح
204,204,تقاضا
205,205,تلا
206,206,تلفن
207,207,تلویزیون
208,208,تن
209,209,تهر
210,210,تهویه
211,211,تو
212,212,توانا
213,213,توانسته
214,214,توجه
215,215,تور
216,216,توسط
217,217,توسعه
218,218,توقیف
219,219,تولید
220,220,توپولوژ
221,221,تکمیل
222,222,تکنولوژ
223,223,تکوین
224,224,تکیه
225,225,تیٔا
226,226,ثاب
227,227,جابجا
228,228,جاسب
229,229,جامد
230,230,جامع
231,231,جانب
232,232,جانور
233,233,جبر
234,234,جذب
235,235,جر
236,236,جراح
237,237,جزا
238,238,جزو
239,239,جستجو
240,240,جشن
241,241,جعبه
242,242,جلد
243,243,جمله
244,244,جنگل
245,245,جه
246,246,جهان
247,247,جو
248,248,حاصلخیز
249,249,حاضر
250,250,حال
251,251,حامد
252,252,حج
253,253,حدود
254,254,حدیث
255,255,حرف
256,256,حرفه
257,257,حرک
258,258,حرکت
259,259,حسابدار
260,260,حسن
261,261,حضور
262,262,حفاظ
263,263,حفظ
264,264,حقالتدریس
265,265,حقوق
266,266,حلقه
267,267,حمید
268,268,حوادث
269,269,حواش
270,270,حوزه
271,271,حک
272,272,حکم
273,273,حین
274,274,خاط
275,275,خاک
276,276,خد
277,277,خصوص
278,278,خط
279,279,خمیر
280,280,خمین
281,281,خوارزم
282,282,خواهد_شد
283,283,خواهر
284,284,خواهند_بود
285,285,خوب
286,286,خود
287,287,خودرو
288,288,خیابان
289,289,دا
290,290,داخل
291,291,دادهاس
292,292,دارا
293,293,دارد
294,294,دارند
295,295,دارو
296,296,داروخانه
297,297,دام
298,298,دامنه
299,299,دامپزشک
300,300,دان
301,301,دانشآموختگ
302,302,دانشآموز
303,303,دانشجو
304,304,دانشجویان
305,305,دانشنامه
306,306,دانشکده
307,307,دانشگاه
308,308,داوطلب
309,309,دایر
310,310,دبس
311,311,دبیرس
312,312,دخ
313,313,دخترانه
314,314,در
315,315,درخ
316,316,درخواس
317,317,درخواست
318,318,درعمل
319,319,درمانگاه
320,320,درورز
321,321,درون
322,322,دریاف
323,323,دسترس
324,324,دستورالعمل
325,325,دستگاه
326,326,دستیار
327,327,دف
328,328,دلایل
329,329,دنبال
330,330,دندانپزشک
331,331,ده
332,332,دور
333,333,دوره
334,334,دولت
335,335,دکتر
336,336,دکترا
337,337,دیگر
338,338,را
339,339,ران
340,340,راه
341,341,راهبرد
342,342,راهنما
343,343,رایان
344,344,رایانه
345,345,رایگ
346,346,رتبه
347,347,رتبهبند
348,348,رده
349,349,رزرو
350,350,رسا
351,351,رسان
352,352,رسانه
353,353,رسیدگ
354,354,رشته
355,355,رفاه
356,356,رفتار
357,357,ره
358,358,رهبر
359,359,رهیار
360,360,روابط
361,361,روانشناس
362,362,روباز
363,363,روح
364,364,روز
365,365,روزانه
366,366,روزه
367,367,رؤسا
368,368,رویداد
369,369,ریاض
370,370,ریال
371,371,ریخته‌گر
372,372,ریٔیس
373,373,زا
374,374,زب
375,375,زراع
376,376,زمین
377,377,زمینه
378,378,زن
379,379,زیاد
380,380,زیارت
381,381,زیر
382,382,زیس
383,383,زیستشناس
384,384,زینت
385,385,سا
386,386,ساخ
387,387,ساختمان
388,388,ساز
389,389,سازمان
390,390,سازه
391,391,ساع
392,392,سال
393,393,سالن
394,394,ساله
395,395,سالهاس
396,396,سایت
397,397,سایر
398,398,سایماگو
399,399,سبزی
400,400,سخنرانی
401,401,سر
402,402,سرویس
403,403,سرویسده
404,404,سرپوشیده
405,405,سریع
406,406,سطح
407,407,سلام
408,408,سلول
409,409,سلولز
410,410,سما
411,411,سمینار
412,412,سه
413,413,سو
414,414,سیاحت
415,415,سیاس
416,416,سید
417,417,سیدالشهدا
418,418,سیس
419,419,سیستم
420,420,شامل
421,421,شبانه
422,422,شبکه
423,423,شخص
424,424,شد
425,425,شدن
426,426,شدند
427,427,شده_باشد
428,428,شدهاس
429,429,شدهاند
430,430,شرایط
431,431,شرق
432,432,شروع
433,433,شرک
434,434,شما
435,435,شماره
436,436,شمال
437,437,شناس
438,438,شناسا
439,439,شهر
440,440,شهرساز
441,441,شهریه
442,442,شهید
443,443,شورا
444,444,شوند
445,445,شوید
446,446,شیم
447,447,صاحب
448,448,صبح
449,449,صد
450,450,صدا
451,451,صدور
452,452,صنایع
453,453,صنعت
454,454,صوت
455,455,صور
456,456,ط
457,457,طالق
458,458,طبیع
459,459,طراح
460,460,طرح
461,461,طرف
462,462,طریق
463,463,طهرانچ
464,464,طول
465,465,عال
466,466,عبارتند
467,467,عبدالله
468,468,عتر
469,469,عدد
470,470,عرب
471,471,عرف
472,472,عرفان
473,473,عروق
474,474,عصب
475,475,عضلان
476,476,عضو
477,477,عطر
478,478,عظیمیه
479,479,علاقهمند
480,480,علم
481,481,علو
482,482,علیمحمد
483,483,عمر
484,484,عمره
485,485,عمل
486,486,عموم
487,487,عنو
488,488,عکس
489,489,غدد
490,490,غذا
491,491,غذاخور
492,492,غیرانتفاع
